"Nom","Description","Description technique"
"Mouvement de stock","Liste les mouvements de stock (entrées/sorties) et leur origine (achat, vente, inventaire, importation).","Type: Web; Route: /rapports/mouvement_stock. Données: mouvements de stock liés aux pièces (achat/vente/inventaire/importation). Filtres: filtre de période (date de début et date de fin, format JJ/MM/AAAA), filtre de référence d’article, filtre par référence d’inventaire, filtre par référence d’importation. Colonnes: lien vers la pièce d’origine, type de mouvement, magasin, article. Tri: tri par colonnes via la table. Période par défaut: année d’exercice."
"Achats & Ventes (Synthèse)","Synthèse des achats et des ventes d’une période, avec avoirs/retours et dépenses; fournit un récapitulatif global.","Type: Web; Route: /rapports/achat-vente. Filtres: filtre de période (sur date d’émission), filtre de type des achats, filtre de type des retours d’achat, filtre de type des ventes, filtre de type des retours de vente, filtre par étiquettes (balises) achat/vente. Calculs: achats (HT, TTC, crédit), ventes (HT, TTC, encaissé), avoirs (achat/vente), dépenses (montant TTC). Récapitulatif: ventes TTC − avoirs vente − achats TTC + avoirs achat − dépenses. Période par défaut: année d’exercice."
"Ventes par produit","Détaille les lignes de vente par produit (quantités et montants) sur une période donnée.","Type: Web; Route: /rapports/vente-produit. Données: ventes validées jointes aux lignes et aux articles. Filtres: filtre de type des ventes, filtre de période (sur date du document), filtre de recherche produit (référence exacte ou désignation partielle). Colonnes: référence de la vente, référence produit (SKU), désignation, type de pièce (libellé), quantité, montant TTC de la ligne, date du document. Tri: tri par colonnes via la table."
"Achats par produit","Détaille les lignes d’achat par produit (quantités et montants) sur une période donnée.","Type: Web; Route: /rapports/achat-produit. Données: achats validés jointes aux lignes et aux articles. Filtres: filtre de type des achats, filtre de période (sur date d’émission), filtre de recherche produit (référence exacte ou désignation partielle). Colonnes: référence de l’achat, référence produit (SKU), désignation, type de pièce (libellé), quantité, montant TTC de la ligne, date du document. Tri: tri par colonnes via la table."
"CA par client","Regroupe par client le chiffre d’affaires, l’encaissé et le solde sur la période.","Type: Web; Route: /rapports/ca-client. Données: clients avec agrégats sur les ventes validées. Filtres: filtre de type des ventes, filtre de période (sur date d’émission), filtre de recherche client (nom ou référence). Groupement: par client. Colonnes: total TTC, total encaissé, total du solde, identifiants client. Tri: tri par colonnes via la table."
"Tendance produit","Classement des produits par total de quantités vendues et total TTC sur la période.","Type: Web; Route: /rapports/tendance-produit. Données: articles avec agrégats sur lignes de vente liées à des ventes validées. Filtres: filtre de type des ventes, filtre de période (sur date du document), filtre de recherche produit (référence ou désignation). Colonnes: référence, désignation, total TTC des ventes, nombre de ventes (quantité). Tri: tri par colonnes via la table."
"Stock produit","Vue du stock actuel par produit avec valorisation à l’achat/vente et bénéfice potentiel.","Type: Web; Route: /rapports/stock-produit. Données: articles et stock courant. Filtres: tri par colonnes via la table. Colonnes: référence, désignation, prix d’achat, prix de vente, quantité en stock, valeur à l’achat (quantité × prix d’achat), valeur à la vente (quantité × prix de vente), bénéfice potentiel (différence). Indicateurs globaux: somme des valeurs à l’achat/vente et pourcentage de profit."
"Stock produit légal","Calcule un « stock légal » à partir des flux d’achats et de ventes validés selon des types définis.","Type: Web; Route: /rapports/stock-produit-legal. Données: articles, stock courant, flux d’achats/ventes/avoirs validés. Calculs: quantités vendues (ventes de type facture) + quantités d’avoirs d’achat; quantités achetées (achats de type facture) + quantités d’avoirs de vente; stock légal = quantités achetées − quantités vendues. Filtres: tri par colonnes via la table. Colonnes: stock physique, quantités vendues, quantités achetées, stock légal."
"Stock produit par magasin","Analyse du stock d’un magasin donné avec valorisations et profit.","Type: Web; Route: /rapports/stock-produit-magasin. Paramètre requis: identifiant de magasin. Données: transactions de stock du magasin (entrées − sorties) agrégées par article. Indicateurs: valeur à l’achat et à la vente, bénéfice et pourcentage de profit pour le magasin. Filtres: tri par colonnes via la table. Colonnes: référence, désignation, quantité, valeur à l’achat, valeur à la vente, bénéfice potentiel."
"Commerciaux","Performance par commercial (nombre de ventes, chiffre d’affaires, commissions) sur la période.","Type: Web; Route: /rapports/commerciaux. Données: commerciaux avec agrégats sur ventes validées. Filtres: filtre de type des ventes, filtre de période (sur date d’émission), filtre de recherche commercial (nom ou référence). Colonnes: nombre de ventes, total du chiffre d’affaires (MAD), total des commissions (MAD). Tri: tri par colonnes via la table."
"Détails d’une session POS","Détaille les ventes ou les dépenses d’une session POS, avec liens vers les pièces.","Type: Web; Route: /rapports/sessions/ventes/{id}. Paramètres: identifiant de session; option d’affichage des dépenses. Données: soit liste des ventes de la session (avec type de pièce et lien), soit liste des dépenses de la session (avec catégorie et lien). Vue synthèse: compte des ventes/retours, totaux TTC, total des dépenses selon les types paramétrés du POS."
"Sessions POS","Liste les sessions POS de l’exercice (magasin, utilisateur, état, totaux).","Type: Web; Route: /rapports/sessions. Filtrage: année d’exercice; option de filtre sur l’identifiant de magasin. Colonnes: magasin, utilisateur, dates (création/fin), état (ouverte/fermée), total TTC de la session (basé sur le type de vente du POS). Tri: tri par colonnes via la table; action d’affichage du détail."
"TVA (prorata des paiements)","Calcule la TVA à reverser en proportion des encaissements/décaissements sur la période.","Type: Web; Route: /rapports/tva. Filtres: filtre de période (sur date de paiement). Données: paiements rattachés aux ventes et aux achats; ventes de type facture et achats de type facture. Calculs: TVA sur ventes = somme des parts d’encaissement appliquées à la TVA de la pièce; TVA sur achats = somme des parts de décaissement appliquées à la TVA de la pièce; résultat = ventes − achats. Sortie: tableau des paiements avec références cliquables et totaux (ventes, achats, solde)."
"Synthèse annuelle","Vue d’ensemble annuelle des ventes, achats et dépenses (TTC/HT), créances/dettes et recettes/décaissements.","Type: Web; Route: /rapports/annuel. Portée: année d’exercice. Ventes (factures validées): chiffres TTC/HT, créances de la période, créances cumulées antérieures au premier jour de l’exercice, recettes de la période. Achats (factures validées): montants TTC/HT, dettes de la période, dettes cumulées antérieures, décaissements de la période. Dépenses: montants HT et TTC (avec taxe). Rendus: blocs partiels (vente/achat/dépense) et page récapitulative."
"Stock (session)","Retourne le stock par article du magasin lié à une session POS ouverte.","Type: API POS v1; Endpoint: GET /api/pos/v1/articles-stock-rapport. Prérequis: identifiant de session POS ouverte. Données: pour chaque article, stock = entrées − sorties dans le magasin de la session. Sortie: identifiant article, désignation, référence, quantité en stock."
